info_id,info_style,info_availability,info_abv,info_notes 
462,American IPA                                                                                        , Rotating                                                                                           ,4.5,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
463,Belgian Saison                                                                                      , Rotating                                                                                           ,8.2,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
464,British Barleywine                                                                                  , Rotating                                                                                           ,10.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
465,American Brown Ale                                                                                  , Limited (brewed once)                                                                              ,5.8,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
466,Belgian Pale Ale                                                                                    , Rotating                                                                                           ,6.2,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
467,American Imperial IPA                                                                               , Limited (brewed once)                                                                              ,10.5,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
468,American IPA                                                                                        , Rotating                                                                                           ,4.8,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
469,American Imperial Stout                                                                             , Rotating                                                                                           ,10.28,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
470,German Kölsch                                                                                      , Rotating                                                                                           ,4.5,Templeton Session Style Ale – Crisp | Gooseberry | Lychee                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
471,Belgian Dubbel                                                                                      , Rotating                                                                                           ,5.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
472,Russian Imperial Stout                                                                              , Rotating                                                                                           ,10.5,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
473,American Porter                                                                                     , Rotating                                                                                           ,8.5,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
474,American IPA                                                                                        , Limited (brewed once)                                                                              ,5.6,An IPA that blends a classic hop combination of Cascade and Columbus with a newer varietal called Bravo. This combination creates layers of flavor that tickle your tongue with zesty citrus and resinous pine notes. Your palate is sure to applaud this dank and juicy ale.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
475,German Maibock                                                                                      , Rotating                                                                                           ,7.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
476,German Pilsner                                                                                      , Rotating                                                                                           ,4.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
477,English Pale Ale                                                                                    , Year-round                                                                                         ,4.5,"A dark amber ale with a wonderful rich malt flavour and earthy aroma, brewed with three different hop varieties creating a distinctive bitterness and smooth finish.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "
478,American Stout                                                                                      , Rotating                                                                                           ,4.1,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
479,German Pilsner                                                                                      , Year-round                                                                                         ,5.3,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
480,American Pale Wheat Ale                                                                             , Rotating                                                                                           ,5.6,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
481,English Sweet / Milk Stout                                                                          , Year-round                                                                                         ,5.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
482,Belgian IPA                                                                                         , Limited (brewed once)                                                                              ,6.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
483,American Wild Ale                                                                                   , Rotating                                                                                           ,6.4,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
484,Belgian Saison                                                                                      , Limited (brewed once)                                                                              ,5.6,"A Saison that highlights the earthy flavors and aromas of Yarrow, which grows all over Denver.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          "
485,American IPA                                                                                        , Rotating                                                                                           ,4.1,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
486,American Porter                                                                                     , Year-round                                                                                         ,7.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
487,Smoke Porter                                                                                        , Rotating                                                                                           ,4.2,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
488,American Pale Ale (APA)                                                                             , Limited (brewed once)                                                                              ,5.6,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
489,American Imperial IPA                                                                               , Rotating                                                                                           ,9.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
490,American Stout                                                                                      , Rotating                                                                                           ,5.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
491,American Porter                                                                                     , Limited (brewed once)                                                                              ,4.9,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
492,American Black Ale                                                                                  , Rotating                                                                                           ,6.5,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
493,Berliner Weisse                                                                                     , Limited (brewed once)                                                                              ,5.1,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
494,German Dunkelweizen                                                                                 , Year-round                                                                                         ,5.2,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
495,German Märzen / Oktoberfest                                                                        , Fall                                                                                               ,4.9,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
496,American IPA                                                                                        , Limited (brewed once)                                                                              ,2.1,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
497,American Imperial IPA                                                                               , Year-round                                                                                         ,6.7,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
498,American Pale Ale (APA)                                                                             , Limited (brewed once)                                                                              ,4.8,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
499,American Stout                                                                                      , Year-round                                                                                         ,5.2,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
